ID	PATH
SRR7217057	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/217/SRR7217057.sralite.1
ERR1713346	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1713/ERR1713346/ERR1713346.lite.2
ERR1713345	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1713/ERR1713345/ERR1713345.lite.2
ERR1725965	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR001/1725/ERR1725965/ERR1725965.lite.2
ERR2592252	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR002/2592/ERR2592252/ERR2592252.lite.2
ERR2607424	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607424/ERR2607424.lite.2
ERR2607425	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607425/ERR2607425.lite.2
ERR2607426	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR002/2607/ERR2607426/ERR2607426.lite.2
ERR2683123	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2683/ERR2683123/ERR2683123.lite.1
ERR4678599	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4678/ERR4678599/ERR4678599.lite.1
ERR4682359	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682359/ERR4682359.lite.1
ERR4682361	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682361/ERR4682361.lite.1
ERR4682839	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR004/4682/ERR4682839/ERR4682839.lite.1
